info,"Gross Domestic Product, Nominal, National Currency","Gross Domestic Product, Deflator, Index","Household Consumption Expenditure, incl. NPISHs, Nominal, National Currency","External Sector, Exports of Goods and Services, Nominal, National Currency","External Sector, Imports of Goods and Services, Nominal, National Currency","Consumer Price Index, All items, Index","Producer Price Index, All Commodities, Percentage change, previous period, Percent","Real Effective Exchange Rate, Consumer Price Index","Interest Rates, Money Market Rate","Public Final Consumption Expend., Nominal",M2,International Reserves,Crude Oil income,Population,"Real wage, NSA",Employment in Manufacturing,Population,Bicurrency bundle,Y must be real and equal C+I+G,Y must be SA,Y must be per capita,Ymust be an index value,C must be real,C must be SA,C must be per capita,C must be an index value ,Inflaiton CPI,real exchange rate (US dollar),real exchange rate (Euro),real exchange rate weighted,real balances must be real and per capita,M must be an index value,Domestic Inflaiton ,"Real wage, must be SA",Crude Oil income,Oil imcome must be per capita,oil income 
Unit,National Currency,"Index, 2010=100",National Currency,National Currency,National Currency,"Index, 2010=100",,"Index, 2005=100",Percent per Annum,National Currency,National Currency,US dollars,US dollars,Persons,"Index, 2002 =100(?)","Index, 2010=100",Persons,RUR,const RUR,const RUR,const RUR,const RUR,National Currency,const RUR,const RUR,const RUR,Proportion per quarter,"Index, 2005Q2=1","Index, 2005Q2=1","Index, 2005Q2=1",const RUR,const RUR,Proportion per quarter,"Index, 2002=1",Bicurrency bundle,Bicurrency bundle,
Data Source,International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),International Financial Statistics (IFS),Central Bank ,"Central Bank, BoPstatistics",RosStat (link sophist),Sophist - GKS,International Financial Statistics (IFS),RosStat (link sophist),,,,,,International Financial Statistics (IFS),,,,,,,,,,,,,,
URL,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,,,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://data.imf.org/?sk=4C514D48-B6BA-49ED-8AB9-52B0C1A0179B&sId=1390030341854,http://www.cbr.ru/eng/statistics/?ch=ITM_14554&prtid=svs#highlight=balance%7Cpayments,http://sophist.hse.ru/exes/tables/POPNUM_Y.htm,http://sophist.hse.ru/exes/tables/WAG_Q.htm,,,,,,,,,,,,,,,,,,,,,,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly ,Yearly,Quarterly,Quarterly,Yearly,,,,,,Quarterly,,,,,,,,,,,,,,
Status,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,Published,,,,,,Published,,,,,,,,,,,,,,
Start date,1998Q1,1999 Q1,1998Q1,1998Q1,1998Q1,1998Q1,1998Q1,1999 Q1,1999 Q1,1998Q1,1998Q1,1998Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1,1999 Q1
End date,2017 Q4,2017 Q3,2017 Q4,2017 Q4,2017 Q4,2018 Q2,2016 Q1,2016 Q1,2018 Q2,2017 Q4,2017 Q2,2018 Q2,2016 Q1,2018 Q1,2018 Q2,2016 Q1,2018 Q1,,,,,,,,,,,,,,,,,,,,
Facts,Core Data,Core Data,Core Data,Core Data,Core Data,Core Data,Core Data,Core Data,Core Data,Core Data,Core Data,,,Spline interpolation  to quarters,Core Data,Core Data,Pop1=Pop/10^6,S2*0.45+S1*0.55,Y2=(Y1-Ex+Im)/P,Y3=Y2(sa),Y4=Y3/Pop1,Y5 =Y4/Y4(2005Q2),C2=C1/P,C3=C2(sa),C4=C3/Pop1,C5=C4/C4(2005Q2),Pi=P)/P(-1),Eps1=S1/S1(2005Q2)*Pus/Pus(2005Q2)/Pru*Pru(2005Q2),Eps2=S2/S2(2005Q2)*Peu/Peu(2005Q2)/Pru*Pru(2005Q2),Eps=Eps1^0.55*Eps2^0.45,M1=M/P/Pop,M2=M1/M1(2005Q2),Pi_d=P_d/P_d(-1),,,,
Alias,Y1,P,C1,,,,,,,,,,,Pop,,,Pop1,S,Y2,Y3,Y4,Y5 ,C2,C3,C4,C5,Pi,Eps1,Eps2,Eps,M1,M2,Pi_d,w,O1,O2,O
Scale,Billions,Units,Billions,Billions,Billions,Units,Units,Units,Units,Billions,Billions,Millions,Millions,Thousands,Units,Units,Millions,Units,Billions,Billions,Units,Units,Billions,Billions,Units,Units,Units,Units,Units,Units,Units,Units,Units,units,Million $+Eur,units,units
