index,import,export,access_date
1997-01-01,6654,4704,2019-03-05
1997-02-01,6433,4939,2019-03-05
1997-03-01,7043,5522,2019-03-05
1997-04-01,6743,6043,2019-03-05
1997-05-01,6515,5391,2019-03-05
1997-06-01,6730,5674,2019-03-05
1997-07-01,7423,6319,2019-03-05
1997-08-01,6874,5996,2019-03-05
1997-09-01,6993,6077,2019-03-05
1997-10-01,7763,6672,2019-03-05
1997-11-01,8063,6340,2019-03-05
1997-12-01,8711,8112,2019-03-05
1998-01-01,5662,5603,2019-03-05
1998-02-01,5638,5841,2019-03-05
1998-03-01,6510,6320,2019-03-05
1998-04-01,6066,6010,2019-03-05
1998-05-01,5962,5612,2019-03-05
1998-06-01,6339,5633,2019-03-05
1998-07-01,6597,5449,2019-03-05
1998-08-01,6118,4865,2019-03-05
1998-09-01,6284,2995,2019-03-05
1998-10-01,5825,2872,2019-03-05
1998-11-01,5707,2895,2019-03-05
1998-12-01,7034,3443,2019-03-05
1999-01-01,4154,2525,2019-03-05
1999-02-01,4536,2773,2019-03-05
1999-03-01,5367,3259,2019-03-05
1999-04-01,6017,3092,2019-03-05
1999-05-01,4711,2723,2019-03-05
1999-06-01,4953,3776,2019-03-05
1999-07-01,5761,3044,2019-03-05
1999-08-01,5655,2926,2019-03-05
1999-09-01,5904,2949,2019-03-05
1999-10-01,6483,3179,2019-03-05
1999-11-01,7071,3260,2019-03-05
1999-12-01,9044,3757,2019-03-05
2000-01-01,6483,2719,2019-03-05
2000-02-01,7574,3208,2019-03-05
2000-03-01,8713,3421,2019-03-05
2000-04-01,7761,3154,2019-03-05
2000-05-01,7959,3165,2019-03-05
2000-06-01,8206,3343,2019-03-05
2000-07-01,8069,3373,2019-03-05
2000-08-01,8569,3535,2019-03-05
2000-09-01,8431,3510,2019-03-05
2000-10-01,8403,3921,2019-03-05
2000-11-01,9499,4131,2019-03-05
2000-12-01,9553,4651,2019-03-05
2001-01-01,7930,3048,2019-03-05
2001-02-01,7821,3528,2019-03-05
2001-03-01,8493,4058,2019-03-05
2001-04-01,8036,4170,2019-03-05
2001-05-01,8104,4375,2019-03-05
2001-06-01,8703,4472,2019-03-05
2001-07-01,7652,4217,2019-03-05
2001-08-01,8557,4388,2019-03-05
2001-09-01,8045,4000,2019-03-05
2001-10-01,7544,4630,2019-03-05
2001-11-01,7900,4884,2019-03-05
2001-12-01,7770,5549,2019-03-05
2002-01-01,6383,3515,2019-03-05
2002-02-01,6331,3818,2019-03-05
2002-03-01,8051,4450,2019-03-05
2002-04-01,8994,4903,2019-03-05
2002-05-01,8108,4480,2019-03-05
2002-06-01,7783,4735,2019-03-05
2002-07-01,8844,5250,2019-03-05
2002-08-01,9490,4937,2019-03-05
2002-09-01,9258,4936,2019-03-05
2002-10-01,9457,5637,2019-03-05
2002-11-01,8823,5512,2019-03-05
2002-12-01,10546,6248,2019-03-05
2003-01-01,9184,4554,2019-03-05
2003-02-01,9409,5018,2019-03-05
2003-03-01,11064,5804,2019-03-05
2003-04-01,9528,5977,2019-03-05
2003-05-01,9793,5713,2019-03-05
2003-06-01,10422,5852,2019-03-05
2003-07-01,10867,6436,2019-03-05
2003-08-01,11428,6101,2019-03-05
2003-09-01,11026,6218,2019-03-05
2003-10-01,12032,6830,2019-03-05
2003-11-01,10982,6548,2019-03-05
2003-12-01,13325,8163,2019-03-05
2004-01-01,10875,5363,2019-03-05
2004-02-01,11673,6334,2019-03-05
2004-03-01,13487,7506,2019-03-05
2004-04-01,14201,7473,2019-03-05
2004-05-01,13147,7122,2019-03-05
2004-06-01,14351,7638,2019-03-05
2004-07-01,15083,8078,2019-03-05
2004-08-01,16371,8051,2019-03-05
2004-09-01,15899,8026,2019-03-05
2004-10-01,16732,8641,2019-03-05
2004-11-01,17317,9155,2019-03-05
2004-12-01,18724,10857,2019-03-05
2005-01-01,13675,6934,2019-03-05
2005-02-01,15867,8346,2019-03-05
2005-03-01,19549,10020,2019-03-05
2005-04-01,19515,9531,2019-03-05
2005-05-01,20047,9451,2019-03-05
2005-06-01,19131,9898,2019-03-05
2005-07-01,21191,10722,2019-03-05
2005-08-01,21378,10644,2019-03-05
2005-09-01,21402,10719,2019-03-05
2005-10-01,21831,11456,2019-03-05
2005-11-01,21792,12294,2019-03-05
2005-12-01,24647,13825,2019-03-05
2006-01-01,20524,8311,2019-03-05
2006-02-01,21449,10080,2019-03-05
2006-03-01,24439,12353,2019-03-05
2006-04-01,23652,11359,2019-03-05
2006-05-01,26770,12921,2019-03-05
2006-06-01,25137,14477,2019-03-05
2006-07-01,25482,13479,2019-03-05
2006-08-01,27853,14240,2019-03-05
2006-09-01,25392,14342,2019-03-05
2006-10-01,24049,15821,2019-03-05
2006-11-01,24382,16180,2019-03-05
2006-12-01,28354,19625,2019-03-05
2007-01-01,21287,11655,2019-03-05
2007-02-01,22945,14073,2019-03-05
2007-03-01,25945,16884,2019-03-05
2007-04-01,26994,16694,2019-03-05
2007-05-01,28681,17453,2019-03-05
2007-06-01,26194,18541,2019-03-05
2007-07-01,29083,19332,2019-03-05
2007-08-01,30318,19995,2019-03-05
2007-09-01,27680,18693,2019-03-05
2007-10-01,34437,22225,2019-03-05
2007-11-01,35197,22610,2019-03-05
2007-12-01,37769,24928,2019-03-05
2008-01-01,33870,15558,2019-03-05
2008-02-01,35095,20977,2019-03-05
2008-03-01,39407,23238,2019-03-05
2008-04-01,40525,25211,2019-03-05
2008-05-01,42478,24286,2019-03-05
2008-06-01,43024,25311,2019-03-05
2008-07-01,46546,28686,2019-03-05
2008-08-01,44952,27130,2019-03-05
2008-09-01,42974,27230,2019-03-05
2008-10-01,38383,26711,2019-03-05
2008-11-01,29353,21076,2019-03-05
2008-12-01,29692,23258,2019-03-05
2009-01-01,18868,10280,2019-03-05
2009-02-01,17419,13210,2019-03-05
2009-03-01,21467,14230,2019-03-05
2009-04-01,18836,14146,2019-03-05
2009-05-01,21159,13115,2019-03-05
2009-06-01,23573,14669,2019-03-05
2009-07-01,26166,15213,2019-03-05
2009-08-01,26805,14818,2019-03-05
2009-09-01,28613,16811,2019-03-05
2009-10-01,30162,18409,2019-03-05
2009-11-01,30400,18442,2019-03-05
2009-12-01,33687,20580,2019-03-05
2010-01-01,26977,11142,2019-03-05
2010-02-01,30094,15239,2019-03-05
2010-03-01,32992,18436,2019-03-05
2010-04-01,32693,18904,2019-03-05
2010-05-01,31106,19053,2019-03-05
2010-06-01,31554,19327,2019-03-05
2010-07-01,30726,20811,2019-03-05
2010-08-01,31260,23605,2019-03-05
2010-09-01,33670,23209,2019-03-05
2010-10-01,34589,24453,2019-03-05
2010-11-01,34506,24544,2019-03-05
2010-12-01,42507,26956,2019-03-05
2011-01-01,29590,16228,2019-03-05
2011-02-01,39623,21670,2019-03-05
2011-03-01,42461,26794,2019-03-05
2011-04-01,45803,26919,2019-03-05
2011-05-01,44039,27930,2019-03-05
2011-06-01,43656,27478,2019-03-05
2011-07-01,41435,26855,2019-03-05
2011-08-01,43842,29428,2019-03-05
2011-09-01,43037,26841,2019-03-05
2011-10-01,45247,28702,2019-03-05
2011-11-01,46427,29755,2019-03-05
2011-12-01,50248,29955,2019-03-05
2012-01-01,39497,19141,2019-03-05
2012-02-01,44877,24696,2019-03-05
2012-03-01,46658,28405,2019-03-05
2012-04-01,44903,26771,2019-03-05
2012-05-01,45473,28156,2019-03-05
2012-06-01,40810,26979,2019-03-05
2012-07-01,41155,29700,2019-03-05
2012-08-01,41119,29959,2019-03-05
2012-09-01,42930,27364,2019-03-05
2012-10-01,46540,32157,2019-03-05
2012-11-01,45268,30587,2019-03-05
2012-12-01,48203,31855,2019-03-05
2013-01-01,38714,21712,2019-03-05
2013-02-01,41763,26484,2019-03-05
2013-03-01,44356,28370,2019-03-05
2013-04-01,44333,29849,2019-03-05
2013-05-01,40879,26383,2019-03-05
2013-06-01,41707,28243,2019-03-05
2013-07-01,43585,30263,2019-03-05
2013-08-01,42399,28351,2019-03-05
2013-09-01,44675,28692,2019-03-05
2013-10-01,43390,30648,2019-03-05
2013-11-01,46669,29793,2019-03-05
2013-12-01,49366,32481,2019-03-05
2014-01-01,39529,20977,2019-03-05
2014-02-01,36339,24089,2019-03-05
2014-03-01,46944,27372,2019-03-05
2014-04-01,47522,27753,2019-03-05
2014-05-01,43945,26159,2019-03-05
2014-06-01,40600,26745,2019-03-05
2014-07-01,46185,29153,2019-03-05
2014-08-01,41413,25278,2019-03-05
2014-09-01,38054,26037,2019-03-05
2014-10-01,41502,26785,2019-03-05
2014-11-01,36681,23072,2019-03-05
2014-12-01,38093,24457,2019-03-05
2015-01-01,27901,12156,2019-03-05
2015-02-01,29401,15418,2019-03-05
2015-03-01,32905,17082,2019-03-05
2015-04-01,30715,16170,2019-03-05
2015-05-01,30654,15290,2019-03-05
2015-06-01,30088,16221,2019-03-05
2015-07-01,27322,16763,2019-03-05
2015-08-01,25034,16232,2019-03-05
2015-09-01,26343,16831,2019-03-05
2015-10-01,26964,16917,2019-03-05
2015-11-01,25384,16434,2019-03-05
2015-12-01,28708,17505,2019-03-05
2016-01-01,17149,9844,2019-03-05
2016-02-01,20135,12861,2019-03-05
2016-03-01,23185,15352,2019-03-05
2016-04-01,21750,15113,2019-03-05
2016-05-01,22042,14437,2019-03-05
2016-06-01,24038,15982,2019-03-05
2016-07-01,22445,16144,2019-03-05
2016-08-01,23105,18449,2019-03-05
2016-09-01,25369,17959,2019-03-05
2016-10-01,24751,18180,2019-03-05
2016-11-01,26532,17615,2019-03-05
2016-12-01,31209,19557,2019-03-05
2017-01-01,25427,13618,2019-03-05
2017-02-01,25806,15476,2019-03-05
2017-03-01,31317,18995,2019-03-05
2017-04-01,26083,18258,2019-03-05
2017-05-01,28259,19628,2019-03-05
2017-06-01,29540,20783,2019-03-05
2017-07-01,24681,20847,2019-03-05
2017-08-01,29079,22415,2019-03-05
2017-09-01,30800,20559,2019-03-05
2017-10-01,31580,21504,2019-03-05
2017-11-01,33443,21897,2019-03-05
2017-12-01,37533,24146,2019-03-05
2018-01-01,33591,16672,2019-03-05
2018-02-01,31283,19114,2019-03-05
2018-03-01,36634,21643,2019-03-05
2018-04-01,35968,20968,2019-03-05
2018-05-01,36482,21310,2019-03-05
2018-06-01,36272,21077,2019-03-05
2018-07-01,34389,21218,2019-03-05
2018-08-01,37565,21671,2019-03-05
2018-09-01,38692,19787,2019-03-05
2018-10-01,41315,21618,2019-03-05
2018-11-01,40460,21476,2019-03-05
2018-12-01,41357,22501,2019-03-05
