date,deflator_gdp,access_date
2012-01-01,110.518813123118,2019-03-08
2012-04-01,108.915846118138,2019-03-08
2012-07-01,108.647018144922,2019-03-08
2012-10-01,108.587796028441,2019-03-08
2013-01-01,106.514778418846,2019-03-08
2013-04-01,104.713177999441,2019-03-08
2013-07-01,105.749650506088,2019-03-08
2013-10-01,104.796431594299,2019-03-08
2014-01-01,105.703854845004,2019-03-08
2014-04-01,107.658629779239,2019-03-08
2014-07-01,107.972367082803,2019-03-08
2014-10-01,108.380072192734,2019-03-08
2015-01-01,108.414949317802,2019-03-08
2015-04-01,107.376152572442,2019-03-08
2015-07-01,108.86024351433,2019-03-08
2015-10-01,107.516866049274,2019-03-08
2016-01-01,103.388856403039,2019-03-08
2016-04-01,104.215234357139,2019-03-08
2016-07-01,102.512521842587,2019-03-08
2016-10-01,103.86817686789,2019-03-08
2017-01-01,106.890878221378,2019-03-08
2017-04-01,104.215753931964,2019-03-08
2017-07-01,104.092814567347,2019-03-08
2017-10-01,105.794072043323,2019-03-08
2018-01-01,106.789124862422,2019-03-08
2018-04-01,110.609813660267,2019-03-08
2018-07-01,111.059862660087,2019-03-08
