date,percent_to_period_last_year,percent_to_last_period,access_date
2008-01-01,108.3,50.6,2019-03-08
2008-02-01,110.7,125.4,2019-03-08
2008-03-01,104.7,100.2,2019-03-08
2008-04-01,110.1,110.2,2019-03-08
2008-05-01,104.2,94.7,2019-03-08
2008-06-01,104.1,105,2019-03-08
2008-07-01,106.3,102.5,2019-03-08
2008-08-01,108.6,102.6,2019-03-08
2008-09-01,99.9,92.6,2019-03-08
2008-10-01,99.4,99.6,2019-03-08
2008-11-01,95.4,102.7,2019-03-08
2008-12-01,89.3,128.6,2019-03-08
2009-01-01,95.9,54.4,2019-03-08
2009-02-01,102.6,134.1,2019-03-08
2009-03-01,105.7,103.3,2019-03-08
2009-04-01,102.8,107.1,2019-03-08
2009-05-01,105.6,97.3,2019-03-08
2009-06-01,103.3,102.8,2019-03-08
2009-07-01,98.1,97.3,2019-03-08
2009-08-01,91.8,96.1,2019-03-08
2009-09-01,102.7,103.5,2019-03-08
2009-10-01,109.4,106.2,2019-03-08
2009-11-01,103.6,97.2,2019-03-08
2009-12-01,112.9,140.2,2019-03-08
2010-01-01,116.6,56.2,2019-03-08
2010-02-01,106.9,122.9,2019-03-08
2010-03-01,106.4,102.8,2019-03-08
2010-04-01,106.5,107.2,2019-03-08
2010-05-01,102.9,94.1,2019-03-08
2010-06-01,104.4,104.3,2019-03-08
2010-07-01,108.3,100.9,2019-03-08
2010-08-01,106.3,94.3,2019-03-08
2010-09-01,104,101.2,2019-03-08
2010-10-01,102.4,104.7,2019-03-08
2010-11-01,105,99.6,2019-03-08
2010-12-01,105.1,140.3,2019-03-08
2011-01-01,101.1,53.3,2019-03-08
2011-02-01,100.8,122.6,2019-03-08
2011-03-01,97.6,99.5,2019-03-08
2011-04-01,98.7,109.6,2019-03-08
2011-05-01,96.3,90.7,2019-03-08
2011-06-01,101.7,110.7,2019-03-08
2011-07-01,101.2,99.2,2019-03-08
2011-08-01,101.6,95.4,2019-03-08
2011-09-01,103,102.7,2019-03-08
2011-10-01,98.6,101,2019-03-08
2011-11-01,101.7,102.2,2019-03-08
2011-12-01,103.5,144.2,2019-03-08
2012-01-01,100.4,51.7,2019-03-08
2012-02-01,102.7,125.3,2019-03-08
2012-03-01,103.2,100,2019-03-08
2012-04-01,101.4,107.6,2019-03-08
2012-05-01,105.4,94.4,2019-03-08
2012-06-01,107.7,112.9,2019-03-08
2012-07-01,100.8,92.9,2019-03-08
2012-08-01,108.2,102.4,2019-03-08
2012-09-01,104.8,99.5,2019-03-08
2012-10-01,103.7,100.1,2019-03-08
2012-11-01,109.1,107.4,2019-03-08
2012-12-01,105.5,139.5,2019-03-08
2013-01-01,100.4,49.4,2019-03-08
2013-02-01,106.6,133,2019-03-08
2013-03-01,109.6,102.8,2019-03-08
2013-04-01,109,107,2019-03-08
2013-05-01,100.2,86.7,2019-03-08
2013-06-01,102.1,115.1,2019-03-08
2013-07-01,104.5,95.1,2019-03-08
2013-08-01,104.2,102.1,2019-03-08
2013-09-01,100.8,96.2,2019-03-08
2013-10-01,105.5,104.8,2019-03-08
2013-11-01,102.2,104,2019-03-08
2013-12-01,103.4,140.8,2019-03-08
2014-01-01,99.5,47.6,2019-03-08
2014-02-01,99.4,132.8,2019-03-08
2014-03-01,93.3,96.5,2019-03-08
2014-04-01,100.4,115.1,2019-03-08
2014-05-01,106.4,91.9,2019-03-08
2014-06-01,96.5,104.4,2019-03-08
2014-07-01,102.9,101.4,2019-03-08
2014-08-01,104.4,103.6,2019-03-08
2014-09-01,100.4,92.6,2019-03-08
2014-10-01,102.1,106.5,2019-03-08
2014-11-01,96.5,98.3,2019-03-08
2014-12-01,92.4,134.8,2019-03-08
2015-01-01,98.5,50.7,2019-03-08
2015-02-01,97.7,131.9,2019-03-08
2015-03-01,97.9,96.7,2019-03-08
2015-04-01,97.7,114.8,2019-03-08
2015-05-01,92.6,87.2,2019-03-08
2015-06-01,96.4,108.9,2019-03-08
2015-07-01,96.8,101.8,2019-03-08
2015-08-01,95,101.6,2019-03-08
2015-09-01,95.3,92.9,2019-03-08
2015-10-01,93.5,104.4,2019-03-08
2015-11-01,93.9,98.7,2019-03-08
2015-12-01,105,150.7,2019-03-08
2016-01-01,94,45.4,2019-03-08
2016-02-01,96.3,135.1,2019-03-08
2016-03-01,99.4,99.8,2019-03-08
2016-04-01,93.4,107.9,2019-03-08
2016-05-01,94.9,88.6,2019-03-08
2016-06-01,95.6,109.6,2019-03-08
2016-07-01,91.9,98,2019-03-08
2016-08-01,90,99.5,2019-03-08
2016-09-01,97.5,100.6,2019-03-08
2016-10-01,94.1,100.7,2019-03-08
2016-11-01,93.8,98.4,2019-03-08
2016-12-01,92.7,148.9,2019-03-08
2017-01-01,110,53.9,2019-03-08
2017-02-01,96.9,119,2019-03-08
2017-03-01,96.8,99.7,2019-03-08
2017-04-01,92.9,103.6,2019-03-08
2017-05-01,100.3,95.6,2019-03-08
2017-06-01,100.5,109.9,2019-03-08
2017-07-01,96.7,94.2,2019-03-08
2017-08-01,99.7,102.6,2019-03-08
2017-09-01,99.8,100.7,2019-03-08
2017-10-01,98.5,99.4,2019-03-08
2017-11-01,100.4,100.3,2019-03-08
2017-12-01,98.1,145.4,2019-03-08
