h,model_fun,mae
1,ets_fun,93.84531407727582
1,arima_fun,187.40659205393672
1,arima101_010_fun,188.8797891843573
1,tbats_fun,345.8894932234228
2,ets_fun,177.08173291947583
2,arima101_010_fun,199.7283818473304
2,arima_fun,238.711111110915
2,tbats_fun,326.9204881314674
3,arima_fun,172.0611111108595
3,arima101_010_fun,206.84605821363184
3,ets_fun,294.134995938412
3,tbats_fun,465.8366046426275
4,arima_fun,174.60444444390396
4,arima101_010_fun,234.21318453143803
4,tbats_fun,314.35960172746377
4,ets_fun,388.60307985138655
