"","date","ind_prod","access_date"
"1",2013 янв,81.5,2020-02-07
"2",2013 фев,99.7,2020-02-07
"3",2013 мар,113.5,2020-02-07
"4",2013 апр,95.6,2020-02-07
"5",2013 май,101.1,2020-02-07
"6",2013 июн,98,2020-02-07
"7",2013 июл,101.4,2020-02-07
"8",2013 авг,99.5,2020-02-07
"9",2013 сен,102.3,2020-02-07
"10",2013 окт,105.1,2020-02-07
"11",2013 ноя,103.1,2020-02-07
"12",2013 дек,108.3,2020-02-07
"13",2014 янв,77.8,2020-02-07
"14",2014 фев,101.5,2020-02-07
"15",2014 мар,109.2,2020-02-07
"16",2014 апр,98.6,2020-02-07
"17",2014 май,98.2,2020-02-07
"18",2014 июн,101.7,2020-02-07
"19",2014 июл,101.2,2020-02-07
"20",2014 авг,99.7,2020-02-07
"21",2014 сен,103.6,2020-02-07
"22",2014 окт,106.3,2020-02-07
"23",2014 ноя,99.3,2020-02-07
"24",2014 дек,112.4,2020-02-07
"25",2015 янв,73.9,2020-02-07
"26",2015 фев,99.8,2020-02-07
"27",2015 мар,112.5,2020-02-07
"28",2015 апр,95.6,2020-02-07
"29",2015 май,97.6,2020-02-07
"30",2015 июн,103.2,2020-02-07
"31",2015 июл,100.5,2020-02-07
"32",2015 авг,101.4,2020-02-07
"33",2015 сен,103.1,2020-02-07
"34",2015 окт,105,2020-02-07
"35",2015 ноя,101.9,2020-02-07
"36",2015 дек,109.1,2020-02-07
"37",2016 янв,75,2020-02-07
"38",2016 фев,102.4,2020-02-07
"39",2016 мар,109.8,2020-02-07
"40",2016 апр,96.1,2020-02-07
"41",2016 май,98.2,2020-02-07
"42",2016 июн,104.8,2020-02-07
"43",2016 июл,101.1,2020-02-07
"44",2016 авг,100.1,2020-02-07
"45",2016 сен,103.6,2020-02-07
"46",2016 окт,107.5,2020-02-07
"47",2016 ноя,102.9,2020-02-07
"48",2016 дек,107.6,2020-02-07
"49",2017 янв,76,2020-02-07
"50",2017 фев,96.7,2020-02-07
"51",2017 мар,113.9,2020-02-07
"52",2017 апр,95.9,2020-02-07
"53",2017 май,101.7,2020-02-07
"54",2017 июн,101.3,2020-02-07
"55",2017 июл,98,2020-02-07
"56",2017 авг,103.8,2020-02-07
"57",2017 сен,103.1,2020-02-07
"58",2017 окт,104.2,2020-02-07
"59",2017 ноя,101.1,2020-02-07
"60",2017 дек,107.4,2020-02-07
"61",2018 янв,79.3,2020-02-07
"62",2018 фев,97.5,2020-02-07
"63",2018 мар,113.4,2020-02-07
"64",2018 апр,96.9,2020-02-07
"65",2018 май,101.5,2020-02-07
"66",2018 июн,99.8,2020-02-07
"67",2018 июл,99.7,2020-02-07
"68",2018 авг,102.7,2020-02-07
"69",2018 сен,102.5,2020-02-07
"70",2018 окт,105.8,2020-02-07
"71",2018 ноя,99.8,2020-02-07
"72",2018 дек,107,2020-02-07
"73",2019 янв,78.5,2020-02-07
"74",2019 фев,100.4,2020-02-07
"75",2019 мар,110.3,2020-02-07
"76",2019 апр,100.2,2020-02-07
"77",2019 май,97.9,2020-02-07
"78",2019 июн,102.3,2020-02-07
"79",2019 июл,99.3,2020-02-07
"80",2019 авг,102.5,2020-02-07
"81",2019 сен,102.7,2020-02-07
"82",2019 окт,105.5,2020-02-07
"83",2019 ноя,97.5,2020-02-07
"84",2019 дек,108.9,2020-02-07
