date,investment,access_date
1999-01-01,93.8,2020-09-25
1999-04-01,99.2,2020-09-25
1999-07-01,105,2020-09-25
1999-10-01,117.4,2020-09-25
2000-01-01,113.5,2020-09-25
2000-04-01,119.6,2020-09-25
2000-07-01,119.7,2020-09-25
2000-10-01,116.1,2020-09-25
2001-01-01,107,2020-09-25
2001-04-01,109.5,2020-09-25
2001-07-01,109.9,2020-09-25
2001-10-01,111.9,2020-09-25
2002-01-01,101.3,2020-09-25
2002-04-01,103.5,2020-09-25
2002-07-01,102.7,2020-09-25
2002-10-01,103.1,2020-09-25
2003-01-01,110.1,2020-09-25
2003-04-01,113.1,2020-09-25
2003-07-01,111.8,2020-09-25
2003-10-01,113.7,2020-09-25
2004-01-01,118.4,2020-09-25
2004-04-01,116.9,2020-09-25
2004-07-01,111.8,2020-09-25
2004-10-01,111.2,2020-09-25
2005-01-01,106.3,2020-09-25
2005-04-01,108.4,2020-09-25
2005-07-01,111.4,2020-09-25
2005-10-01,114.3,2020-09-25
2006-01-01,108.8,2020-09-25
2006-04-01,117.7,2020-09-25
2006-07-01,116.1,2020-09-25
2006-10-01,120.3,2020-09-25
2007-01-01,120.3,2020-09-25
2007-04-01,121.3,2020-09-25
2007-07-01,116.9,2020-09-25
2007-10-01,128.5,2020-09-25
2008-01-01,123.4,2020-09-25
2008-04-01,117.6,2020-09-25
2008-07-01,112.3,2020-09-25
2008-10-01,98.7,2020-09-25
2009-01-01,82,2020-09-25
2009-04-01,79.1,2020-09-25
2009-07-01,82.3,2020-09-25
2009-10-01,90.7,2020-09-25
2010-01-01,95.2,2020-09-25
2010-04-01,105.6,2020-09-25
2010-07-01,105.3,2020-09-25
2010-10-01,111.1,2020-09-25
2011-01-01,103.9,2020-09-25
2011-04-01,107.8,2020-09-25
2011-07-01,111.3,2020-09-25
2011-10-01,114.8,2020-09-25
2012-01-01,113.9,2020-09-25
2012-04-01,110.6,2020-09-25
2012-07-01,105.5,2020-09-25
2012-10-01,103.2,2020-09-25
2013-01-01,102.5,2020-09-25
2013-04-01,100.2,2020-09-25
2013-07-01,99.7,2020-09-25
2013-10-01,101.1,2020-09-25
2014-01-01,96.9,2020-09-25
2014-04-01,100.2,2020-09-25
2014-07-01,99.8,2020-09-25
2014-10-01,97.3,2020-09-25
2015-01-01,94.1,2020-09-25
2015-04-01,89.3,2020-09-25
2015-07-01,86.9,2020-09-25
2015-10-01,90.7,2020-09-25
2016-01-01,96.5,2020-09-25
2016-04-01,96.9,2020-09-25
2016-07-01,99.2,2020-09-25
2016-10-01,103.2,2020-09-25
2017-01-01,106.3,2020-09-25
2017-04-01,105.6,2020-09-25
2017-07-01,104.6,2020-09-25
2017-10-01,103.9,2020-09-25
2018-01-01,106.2,2020-09-25
2018-04-01,105.5,2020-09-25
2018-07-01,110.4,2020-09-25
2018-10-01,101.9,2020-09-25
2019-01-01,100.9,2020-09-25
2019-04-01,101.2,2020-09-25
2019-07-01,101.7,2020-09-25
2019-10-01,102.3,2020-09-25
