date,gdp
2001-04-01,12558.5335717395
2001-07-01,14012.714915529
2001-10-01,13941.4218959327
2002-01-01,12253.5045349336
2002-04-01,13111.8473093629
2002-07-01,14633.3914882933
2002-10-01,14800.8838228235
2003-01-01,13183.2896177449
2003-04-01,14156.714217761
2003-07-01,15542.6473496487
2003-10-01,15943.9137062806
2004-01-01,14137.9100181332
2004-04-01,15293.4388050918
2004-07-01,16681.0193987321
2004-10-01,16935.5610778946
2005-01-01,14926.2495879681
2005-04-01,16213.1812176142
2005-07-01,17675.3376460448
2005-10-01,18253.2147370436
2006-01-01,16015.5050922009
2006-04-01,17523.4879454956
2006-07-01,19123.1080325592
2006-10-01,19874.2245033075
2007-01-01,17307.9355301192
2007-04-01,19033.6911566924
2007-07-01,20685.9525477078
2007-10-01,21699.7799074649
2008-01-01,18896.0749786579
2008-04-01,20537.60856718
2008-07-01,22012.3463964402
2008-10-01,21412.9044244124
2009-01-01,17157.304022307
2009-04-01,18247.4013509223
2009-07-01,20115.1701085071
2009-10-01,20858.7568942259
2010-01-01,17855.4831319711
2010-04-01,19159.8106989638
2010-07-01,20884.8297687857
2010-10-01,21918.3928146256
2011-01-01,18440.083541412
2011-04-01,19714.7983836423
2011-07-01,20978.4241456063
2011-10-01,22617.2640036255
2012-01-01,19492.3081064737
2012-04-01,20672.4469778873
2012-07-01,21711.5749787369
2012-10-01,23163.953384963
2013-01-01,19712.5306261595
2013-04-01,21028.1037790257
2013-07-01,22039.0924653798
2013-10-01,23753.3725488541
2014-01-01,19703.1220823644
2014-04-01,21144.8082868644
2014-07-01,22348.6641551503
2014-10-01,23973.6197417299
2015-01-01,19401.7408126884
2015-04-01,20490.9515696265
2015-07-01,21967.9990181957
2015-10-01,23589.8992890508
2016-01-01,19361.6872098271
2016-04-01,20556.7233370853
2016-07-01,21980.8550008175
2016-10-01,23716.8182670087
2017-01-01,19615.8386209698
2017-04-01,21038.5281270306
2017-07-01,22560.9980814094
2017-10-01,23963.9054172014
2018-01-01,20052.5300999425
2018-04-01,21582.578719333
2018-07-01,23120.7940862981
2018-10-01,24634.5224606763
2019-01-01,20129.9965706423
2019-04-01,21828.229555481
2019-07-01,23476.7475296908
2019-10-01,25154.9598747282
2020-01-01,20458.6917208007
2020-04-01,20076.1838437174
