date,ind_prod,access_date
16436,82.6,2020-12-05
16467,97.2,2020-12-05
16495,110.9,2020-12-05
16526,95.3,2020-12-05
16556,98.9,2020-12-05
16587,101.6,2020-12-05
16617,101.3,2020-12-05
16648,100.5,2020-12-05
16679,101,2020-12-05
16709,105.2,2020-12-05
16740,99.5,2020-12-05
16770,107.9,2020-12-05
16801,82.7,2020-12-05
16832,100.1,2020-12-05
16861,109.7,2020-12-05
16892,94.3,2020-12-05
16922,99.5,2020-12-05
16953,102.3,2020-12-05
16983,100.5,2020-12-05
17014,102.3,2020-12-05
17045,101.3,2020-12-05
17075,105.8,2020-12-05
17106,101.6,2020-12-05
17136,106.6,2020-12-05
17167,84.9,2020-12-05
17198,95.4,2020-12-05
17226,111.8,2020-12-05
17257,95,2020-12-05
17287,101.3,2020-12-05
17318,101.5,2020-12-05
17348,99.6,2020-12-05
17379,102.9,2020-12-05
17410,100.2,2020-12-05
17440,104,2020-12-05
17471,100.4,2020-12-05
17501,105.7,2020-12-05
17532,86.9,2020-12-05
17563,95.8,2020-12-05
17591,111.4,2020-12-05
17622,95.4,2020-12-05
17652,101.6,2020-12-05
17683,100.2,2020-12-05
17713,101,2020-12-05
17744,102.1,2020-12-05
17775,99.8,2020-12-05
17805,107,2020-12-05
17836,99.6,2020-12-05
17866,107.8,2020-12-05
17897,83.7,2020-12-05
17928,97.2,2020-12-05
17956,109.9,2020-12-05
17987,97.7,2020-12-05
18017,97.6,2020-12-05
18048,102.3,2020-12-05
18078,102.2,2020-12-05
18109,101.7,2020-12-05
18140,100.8,2020-12-05
18170,106.4,2020-12-05
18201,96.8,2020-12-05
18231,109.1,2020-12-05
18262,82.8,2020-12-05
18293,100.3,2020-12-05
18322,107.4,2020-12-05
18353,91,2020-12-05
18383,94.2,2020-12-05
18414,103.1,2020-12-05
18444,103.5,2020-12-05
18475,103.5,2020-12-05
18506,101.5,2020-12-05
18536,103.8,2020-12-05
