access_date,ir,reserves,real_wage,gdp_deflator,value,date,trend_lin,trend_root,s1_4,c1_4,c2_4
2016-04-29,5.1,498644.92,254.6,114.129506493514,22998.1174466734,2011 Q4,1,1,1,0,-1
2016-04-29,4.76666666666667,513488.23,227.87,110.518813123118,19662.1999201111,2012 Q1,2,1.4142135623730951,0,-1,1
2016-04-29,5.63333333333333,514314.2,244.27,108.915846118138,20899.3295212773,2012 Q2,3,1.7320508075688772,-1,0,-1
2016-04-29,5.46666666666667,529891,235.23,108.647018144922,22357.1559290695,2012 Q3,4,2,0,1,1
2016-04-29,6.13333333333333,537616.12,268.64,108.587796028441,23435.4892665196,2012 Q4,5,2.23606797749979,1,0,-1
2016-04-29,5.7,527706.32,238.28,106.514778418846,19909.3153345989,2013 Q1,6,2.449489742783178,0,-1,1
2016-04-29,6.3,513770.49,259.73,104.713177999441,21251.172957833,2013 Q2,7,2.6457513110645907,-1,0,-1
2016-04-29,6.16666666666667,522578.73,250.38,105.749650506088,22720.8750801796,2013 Q3,8,2.8284271247461903,0,1,1
2016-04-29,6.23333333333333,509592.61,279.67,104.796431594299,24014.5394079716,2013 Q4,9,3,1,0,-1
2017-05-03,6.66666666666667,486128.66,247.79,105.703854845004,20002.5420934164,2014 Q1,10,3.1622776601683795,0,-1,1
2017-05-03,8.1,478248.33,265.38,107.658629779239,21528.0721290005,2014 Q2,11,3.3166247903554,-1,0,-1
2017-05-03,8.03333333333333,454238.84,251.58,107.972367082803,22921.0072361243,2014 Q3,12,3.4641016151377544,0,1,1
2017-05-03,11.29,385458.92,274.47,108.380072192734,24093.481139679,2014 Q4,13,3.605551275463989,1,0,-1
2018-04-27,15.6666666666667,356364.13,225.62,108.414949317802,19710.8692941919,2015 Q1,14,3.7416573867739413,0,-1,1
2018-04-27,13.2333333333333,361570.55,242.54,107.376152572442,20822.0802888186,2015 Q2,15,3.872983346207417,-1,0,-1
2018-04-27,11.1833333333333,371265.92,227.26,108.86024351433,22331.9637216909,2015 Q3,16,4,0,1,1
2018-04-27,11.2133333333333,368397.81,247.71,107.516866049274,23432.634085229,2015 Q4,17,4.123105625617661,1,0,-1
2018-04-27,10.9333333333333,387007.25,224.18,103.388856403039,19609.8340741956,2016 Q1,18,4.242640687119285,0,-1,1
2018-04-27,10.81,392755.69,243.24,104.215234357139,20743.4682565541,2016 Q2,19,4.358898943540674,-1,0,-1
2018-04-27,10.2933333333333,397742.59,230.1,102.512521842587,22277.6347606889,2016 Q3,20,4.47213595499958,0,1,1
2018-04-27,10.18,377738.06,253.8,103.86817686789,23517.6285250821,2016 Q4,21,4.58257569495584,1,0,-1
2018-04-27,10.05,397902.01,233.75,106.890878221378,19727.7809659554,2017 Q1,22,4.69041575982343,0,-1,1
2018-04-27,9.27333333333333,412230.48,258.29,104.215753931964,21265.3092968229,2017 Q2,23,4.795831523312719,-1,0,-1
2018-04-27,8.62,424757.64,242.8,104.092814567347,22763.8842907933,2017 Q3,24,4.898979485566356,0,1,1
2018-04-27,7.92666666666667,432731.02,275.09,105.794072043323,23723.1293350212,2017 Q4,25,5,1,0,-1
2018-07-31,7.13,457982.89,259.41,106.789124862422,NA,2018 Q1,26,5.0990195135927845,0,-1,1
